barangay,dateCommitted,timeCommitted,incidentType,offense,offenseType
ANABU I-E,2024-02-29,12:52:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-D,2024-03-01,22:16:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BAYAN LUMA I,2024-03-01,13:48:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG I-G,2024-03-01,12:49:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BAYAN LUMA V,2024-03-01,07:50:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
TANZANG LUMA II,2024-03-01,10:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-C,2024-03-01,06:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PALICO IV,2024-03-02,13:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
TANZANG LUMA IV (SOUTHERN CITY),2024-03-02,14:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
TANZANG LUMA IV (SOUTHERN CITY),2024-03-02,14:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ALAPAN II-B,2024-03-02,13:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MEDICION II-F,2024-03-03,23:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MEDICION II-F,2024-03-03,23:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
PALICO IV,2024-03-03,23:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-E,2024-03-03,21:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG I-G,2024-03-03,08:25:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA II,2024-03-04,10:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ANABU I-A,2024-03-04,16:24:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG II-A,2024-03-04,11:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
CARSADANG BAGO I,2024-03-04,06:40:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ALAPAN II-B,2024-03-04,04:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-D,2024-03-05,18:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG I-G,2024-03-05,14:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG I-G,2024-03-05,14:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ALAPAN II-B,2024-03-05,14:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG II-C,2024-03-05,12:15:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PALICO IV,2024-03-05,09:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MEDICION II-F,2024-03-06,07:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-C,2024-03-06,08:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA I,2024-03-07,14:35:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA I,2024-03-07,14:35:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
BAYAN LUMA VIII,2024-03-07,15:05:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MAHARLIKA,2024-03-07,08:34:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PAG-ASA III,2024-03-07,09:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ANABU I-B,2024-03-08,11:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU I-B,2024-03-08,11:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
MALAGASANG II-G,2024-03-08,14:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PALICO II,2024-03-08,10:55:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
POBLACION I-B,2024-03-08,12:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-C,2024-03-08,08:15:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BAYAN LUMA VII,2024-03-08,,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BAYAN LUMA VII,2024-03-08,,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
PASONG BUAYA I,2024-03-09,23:47:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA I,2024-03-09,23:47:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ANABU I-A,2024-03-09,21:40:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU I-A,2024-03-09,21:40:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ANABU II-D,2024-03-09,18:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BAYAN LUMA II,2024-03-09,16:15:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG II-A,2024-03-09,14:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BAYAN LUMA III,2024-03-09,12:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-D,2024-03-10,16:27:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU I-B,2024-03-10,23:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
TANZANG LUMA I,2024-03-10,19:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
CARSADANG BAGO I,2024-03-10,03:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
CARSADANG BAGO I,2024-03-10,03:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
PASONG BUAYA I,2024-03-10,00:02:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA II,2024-03-11,12:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG II-A,2024-03-12,07:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU I-B,2024-03-12,12:20:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
CARSADANG BAGO II,2024-03-12,06:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU I-D,2024-03-12,03:20:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ANABU I-D,2024-03-12,03:20:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA I,2024-03-13,17:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA I,2024-03-13,17:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
PALICO I,2024-03-13,17:43:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA I,2024-03-13,13:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA I,2024-03-13,13:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
BUCANDALA II,2024-03-13,08:13:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
CARSADANG BAGO II,2024-03-13,06:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-E,2024-03-14,18:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-E,2024-03-14,18:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
PALICO IV,2024-03-14,16:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,Crimes Against Persons
POBLACION III-B,2024-03-14,11:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG I-G,2024-03-14,11:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PAG-ASA III,2024-03-14,05:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
MALAGASANG II-A,2024-03-14,05:57:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ALAPAN II-A,2024-03-15,19:44:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA I,2024-03-15,16:12:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PAG-ASA II,2024-03-15,10:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
POBLACION I-C,2024-03-15,03:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PALICO IV,2024-03-16,16:57:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PALICO IV,2024-03-16,04:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PALICO IV,2024-03-16,04:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
BUCANDALA IV,2024-03-16,02:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA I,2024-03-17,22:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA I,2024-03-17,22:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
MALAGASANG II-B,2024-03-17,14:23:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG II-B,2024-03-17,14:23:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ANABU I-B,2024-03-17,16:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU I-B,2024-03-17,16:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
BAYAN LUMA VII,2024-03-17,12:35:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BAYAN LUMA IX,2024-03-17,06:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BAYAN LUMA IX,2024-03-17,06:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ANABU II-D,2024-03-18,19:20:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ALAPAN II-A,2024-03-18,06:57:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU I-C,2024-03-19,21:40:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU I-C,2024-03-19,21:40:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ANABU II-F,2024-03-19,21:40:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-F,2024-03-19,21:40:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
POBLACION II-B,2024-03-19,19:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
POBLACION II-B,2024-03-19,19:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
BAYAN LUMA II,2024-03-19,18:35:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BAYAN LUMA VII,2024-03-19,10:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BUHAY NA TUBIG,2024-03-19,00:50:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PALICO IV,2024-03-20,12:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PALICO IV,2024-03-20,12:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
TANZANG LUMA I,2024-03-20,10:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
BUHAY NA TUBIG,2024-03-20,13:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ALAPAN I-C,2024-03-20,13:16:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-D,2024-03-20,11:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG II-A,2024-03-20,09:20:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG I-E,2024-03-20,08:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG I-E,2024-03-20,08:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ANABU II-D,2024-03-21,14:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BUHAY NA TUBIG,2024-03-21,15:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BUHAY NA TUBIG,2024-03-21,15:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ALAPAN I-A,2024-03-22,21:07:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PAG-ASA III,2024-03-23,11:20:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PAG-ASA III,2024-03-23,11:20:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ANABU II-F,2024-03-23,19:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG II-D,2024-03-23,14:25:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
TANZANG LUMA IV (SOUTHERN CITY),2024-03-23,11:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PALICO IV,2024-03-23,08:38:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
TANZANG LUMA I,2024-03-23,08:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ALAPAN II-B,2024-03-23,07:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-C,2024-03-24,21:15:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU I-C,2024-03-24,13:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU I-C,2024-03-24,13:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
MALAGASANG I-B,2024-03-24,13:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BUHAY NA TUBIG,2024-03-24,07:58:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-F,2024-03-24,09:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG I-A,2024-03-25,03:00:00,(Incident) Self-Inflicted Unintentional Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ALAPAN II-A,2024-03-25,17:07:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
TANZANG LUMA VI,2024-03-25,13:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-D,2024-03-26,20:55:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
TANZANG LUMA IV (SOUTHERN CITY),2024-03-26,18:20:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-C,2024-03-26,16:00:00,(Incident) Significant Incident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BUHAY NA TUBIG,2024-03-26,14:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BUHAY NA TUBIG,2024-03-26,11:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG I-A,2024-03-26,08:20:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BAYAN LUMA II,2024-03-27,09:14:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA I,2024-03-27,08:14:00,(Incident) Self-Inflicted Unintentional Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA I,2024-03-27,08:14:00,(Incident) Self-Inflicted Unintentional Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
MALAGASANG I-A,2024-03-27,18:06:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PAG-ASA III,2024-03-27,16:40:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG II-A,2024-03-27,15:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-D,2024-03-27,08:14:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ALAPAN I-A,2024-03-28,17:15:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
POBLACION IV-A (POB.),2024-03-29,15:40:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
POBLACION IV-A (POB.),2024-03-29,15:40:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
TANZANG LUMA I,2024-03-29,13:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
CARSADANG BAGO I,2024-03-29,08:17:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
